MAC,Time_ 1,Time_ 2,Time_ 3,Time_ 4,Time_ 5,Time_ 6,Time_ 7,Time_ 8,Time_ 9,Time_10,Time_11,Time_12,Time_13,Time_14,Time_15,x_ 1,x_ 2,x_ 3,x_ 4,x_ 5,x_ 6,x_ 7,x_ 8,x_ 9,x_10,x_11,x_12,x_13,x_14,x_15,y_ 1,y_ 2,y_ 3,y_ 4,y_ 5,y_ 6,y_ 7,y_ 8,y_ 9,y_10,y_11,y_12,y_13,y_14,y_15
00:00:00:00:00:00,0,1,2,3,4,5,6,7,8,9,10,11,,,,2.0475,1.95705883744883,2.00470314014269,2.00470314014269,1.95705883744883,1.75472605703509,1.95705883744883,2.0475,1.93172916655436,1.96626053294545,2.00905739280276,2.3508441331704,,,,2.10336194427383,2.13875196440255,2.1201085416093,2.1201085416093,2.13875196440255,2.03030841684325,2.49849294378432,2.07327642559773,2.09155350846604,2.14657597165303,2.08831918493578,1.95457654740062,,,
00:23:eb:27:27:30,0,1,2,3,4,5,6,7,8,9,10,11,,,,2.09751779105071,2.06853101991284,2.07091312615058,2.09751779105071,2.09245631953394,2.08282088687679,2.06853101991284,2.077186121106,2.10318312219269,2.08282088687679,2.0975483564219,2.08682155376315,,,,2.22685338470784,2.22829152013434,2.22972313237186,2.22685338470784,2.22883396051875,2.229473390517,2.22388170344415,2.22235918177202,2.23303140503739,2.229473390517,2.23523631338248,2.23544868555402,,,
00:23:eb:27:27:31,0,1,2,3,4,5,6,7,8,9,10,11,12,,,2.08682155376315,2.07091312615058,2.08282088687679,2.07416578568363,2.08788235839355,2.09245631953394,2.08788235839355,2.08788235839355,2.077186121106,2.10824459370946,2.08282088687679,2.08282088687679,2.08788235839355,,,2.23103886886384,2.22972313237186,2.229473390517,2.22608661178925,2.21817369761602,2.22883396051875,2.22308299801591,2.21817369761602,2.22235918177202,2.23942179753848,2.22506357382682,2.229473390517,2.22308299801591,,
00:23:eb:27:27:33,0,1,2,3,4,5,6,7,8,9,10,11,,,,2.08282088687679,2.06853101991284,2.08054855880773,2.077186121106,2.09751779105071,2.077186121106,2.09651279740273,2.08282088687679,2.0792272572004,2.08282088687679,2.08788235839355,2.08788235839355,,,,2.229473390517,2.22388170344415,2.23349351906379,2.23167829886209,2.22685338470784,2.23167829886209,2.22411568639816,2.22015427342693,2.21969621928815,2.229473390517,2.21817369761602,2.22308299801591,,,
00:23:eb:27:27:34,0,1,2,3,4,5,6,7,8,9,10,11,12,13,,2.08282088687679,2.08282088687679,2.08282088687679,2.08282088687679,2.08788235839355,2.10318312219269,2.10318312219269,2.077186121106,2.08282088687679,2.08788235839355,2.08788235839355,2.10318312219269,2.11279109927103,2.08377376276197,,2.22506357382682,2.22015427342693,2.22506357382682,2.229473390517,2.22308299801591,2.23744122172757,2.23303140503739,2.22726848217191,2.22506357382682,2.21817369761602,2.21817369761602,2.23744122172757,2.22927176183282,2.22232696858468,
00:23:eb:27:27:35,0,1,2,3,4,5,6,7,8,9,10,11,,,,2.09751779105071,2.077186121106,2.077186121106,2.08282088687679,2.077186121106,2.08282088687679,2.10318312219269,2.07091312615058,2.077186121106,2.08788235839355,2.10318312219269,2.08788235839355,,,,2.22194408430795,2.22235918177202,2.22726848217191,2.229473390517,2.22235918177202,2.229473390517,2.23303140503739,2.22481383197197,2.22726848217191,2.22749281470609,2.23303140503739,2.22749281470609,,,
00:23:eb:27:27:36,0,1,2,3,4,5,6,7,8,9,10,11,12,,,2.077186121106,2.08282088687679,2.08282088687679,2.08429184745519,2.08788235839355,2.08282088687679,2.10318312219269,2.077186121106,2.08682155376315,2.08788235839355,2.10206429661228,2.077186121106,2.10206429661228,,,2.22235918177202,2.22015427342693,2.22506357382682,2.24483345966833,2.21817369761602,2.229473390517,2.2281221046375,2.22235918177202,2.23103886886384,2.22749281470609,2.22016501691429,2.23167829886209,2.22948413400436,,
00:23:eb:27:27:37,0,1,2,3,4,5,6,7,8,9,10,11,12,13,,2.08282088687679,2.07416578568363,2.09751779105071,2.077186121106,2.077186121106,2.09751779105071,2.077186121106,2.10824459370946,2.09245631953394,2.08788235839355,2.09245631953394,2.08788235839355,2.07091312615058,2.09651279740273,,2.229473390517,2.21676749469917,2.22685338470784,2.23167829886209,2.22726848217191,2.23126320139802,2.23167829886209,2.23105082922648,2.23324377720893,2.22749281470609,2.22392466011886,2.22749281470609,2.22972313237186,2.22411568639816,
00:c8:8b:74:fa:70,0,1,2,3,4,5,6,7,8,9,10,11,,,,2.00470314014269,1.77923276278175,2.0475,2.00470314014269,2.0475,1.93172916655436,2.0475,2.00905739280276,1.96626053294545,2.00905739280276,2.00470314014269,2.00470314014269,,,,2.1201085416093,2.20833608057662,2.10336194427383,2.1201085416093,2.10336194427383,2.09155350846604,2.00570390130745,2.08831918493578,2.10506578227125,2.08831918493578,2.1201085416093,2.1201085416093,,,
00:c8:8b:74:fa:71,0,1,2,3,4,5,6,7,8,9,10,,,,,2.0475,2.0475,2.08594260719724,1.95705883744883,2.0475,1.96626053294545,1.96626053294545,2.00905739280276,1.96626053294545,1.93172916655436,2.00905739280276,,,,,2.10336194427383,2.10336194427383,2.04210728914766,2.18026215378432,2.07327642559773,2.10506578227125,2.10506578227125,2.04210728914766,2.10506578227125,2.09155350846604,2.08831918493578,,,,
